bearID,Seal,Beluga,Walrus,Bodycond,Sex,Ageclass,Year,Era,Region,Lat,Long
BEAR0253,56,32.87,11.13,74.67,M,Adult,2007,Mid,West,70.59,-128.22
BEAR0254,51.7,43.23,5.07,76.21,F,Subadult,2007,Mid,West,69.95,-132.53
BEAR0255,28.45,66.79,4.75,76.58,M,Cub,2007,Mid,West,70.36,-127.37
BEAR0257,55.32,40.74,3.94,59.84,F,Adult,2006,Mid,West,69.63,-135.76
BEAR0258,26.26,73.73,0,80.77,M,Subadult,2003,Mid,Central,71.99,-125.22
BEAR0260,31.77,68.23,0,86.45,F,Cub,2003,Mid,West,69.69,-133.37
BEAR0261,43.21,55.17,1.61,78.76,M,Adult,2003,Mid,West,69.57,-138.74
BEAR0263,44.12,55.28,0.6,69.98,F,Subadult,2003,Mid,Central,70.62,-117.68
BEAR0266,69.04,24.91,4.83,76.97,F,Adult,2003,Mid,Central,71.22,-122.38
BEAR0268,91.31,0,8.69,74.18,M,Adult,2003,Mid,West,70.33,-130.5
BEAR0269,29.7,66.54,3.76,58.14,M,Subadult,2003,Mid,West,70.65,-128.35
BEAR0270,27.7,72.3,0,85.46,F,Subadult,2003,Mid,West,69.9,-132.48
BEAR0271,38.01,61.99,0,88.73,M,Adult,2003,Mid,West,69.65,-133.42
BEAR0273,44.41,52.11,3.49,73.04,F,Adult,2003,Mid,West,69.91,-132.04
BEAR0275,34.75,34.9,30.35,82.73,M,Adult,2003,Mid,Central,70.19,-130.94
BEAR0276,38.44,61.34,0.23,79.9,F,Adult,2003,Mid,Central,72.12,-125.41
BEAR0277,60.65,39.14,0.21,81.9,M,Adult,2003,Mid,Central,72.87,-125.15
BEAR0278,17.7,82.3,0,67.05,F,Cub,2003,Mid,Central,71.93,-125.88
BEAR0279,45.2,54.8,0,86.22,M,Subadult,2003,Mid,Central,71.03,-122.13
BEAR0280,51.41,48.37,0.21,83.02,M,Adult,2003,Mid,Central,72,-126
BEAR0281,25.02,63.98,11,62.07,M,Subadult,2007,Mid,West,69.89,-132.67
BEAR0288,18.48,81.52,0,96.39,M,Subadult,2007,Mid,West,70.14,-132.3
BEAR0290,77.28,18.67,4.05,70.74,F,Adult,2007,Mid,West,70.41,-127.3
BEAR0291,75.15,16.87,3.34,79.66,F,Adult,2007,Mid,West,69.99,-133.75
BEAR0293,42.28,57.72,0,78.9,F,Cub,2005,Mid,Central,71.27,-120.25
BEAR0295,69.1,28.17,2.74,81.14,M,Adult,2005,Mid,Central,71.42,-118.49
BEAR0296,90.1,7.48,2.42,83.33,F,Adult,2005,Mid,Central,71.54,-119.14
BEAR0297,71.45,28.55,0,96.01,F,Cub,2005,Mid,Central,71.54,-119.14
